name,AB_CBF,HT_CBF,Ibk_CBF,J48_CBF,Jrip_CBF,Log_CBF,MLP_CBF,NB_CBF,REP_CBF,RF_CBF,SGD_CBF,SVM_CBF
2dplanes.arff,0.9191289,0.9831467,0.9553286,0.9792207,0.9458334,0.9177793,0.8837044,0.7195182,0.9820652,0.978156,0.8353035,0.8360476
abalone.arff,0.8255276,0.7391045,0.7205931,0.8054928,0.8083612,0.873881,0.8703667,0.8214999,0.8369987,0.8670389,0.784793,0.7740797
ada_prior.arff,0.8547692,0.760873,0.6938827,0.8196916,0.7433299,0.8882084,0.8530323,0.8827954,0.8398204,0.8764639,0.7590853,0.7431175
adult.arff,0.8591324,0.8878542,0.7225224,0.8755087,0.7441978,0.911535,0.8561519,0.9018806,0.8797686,0.8748828,0.7686008,0.7641699
adult-census.arff,0.872693,0.8553151,0.7120459,0.8914162,0.7489234,0.9048528,0.870551,0.8921231,0.875552,0.9042359,0.7563949,0.753485
ailerons.arff,0.9299388,0.8700704,0.8262653,0.8768882,0.8855629,0.951893,0.9519527,0.8460188,0.9268065,0.9506255,0.8706045,0.8744035
analcatdata_apnea1.arff,0.8983352,0.9149439,0.8494144,0.912616,0.852773,0.9168507,0.9104627,0.9149439,0.9126354,0.9254743,0.8675087,0.8675087
analcatdata_apnea2.arff,0.941986,0.9458769,0.8187185,0.9257937,0.909853,0.9502808,0.9318429,0.9458769,0.9295684,0.9622483,0.9316784,0.9316784
analcatdata_apnea3.arff,0.9017264,0.9183632,0.8175042,0.8910277,0.787124,0.9335469,0.9018888,0.9183632,0.9122542,0.944376,0.8966667,0.8966667
analcatdata_asbestos.arff,0.8660417,0.8566667,0.7775,0.7641666,0.7616666,0.8454167,0.8629167,0.8566667,0.8293749,0.8191666,0.7716666,0.7641666
analcatdata_authorship.arff,0.9964878,0.9972338,0.9939582,0.9533199,0.9658749,0.9998798,0.9998798,0.9971744,0.9553814,0.9998498,0.9920673,0.995553
analcatdata_bankruptcy.arff,0.9333334,0.8999999,0.8749998,0.8583333,0.8249999,0.9,0.95,0.8999999,0.5,0.9333333,0.8833332,0.8499999
analcatdata_birthday.arff,0.9236424,0.9022648,0.8103462,0.7211997,0.7534811,0.7662097,0.9157997,0.9209072,0.6109476,0.8969289,0.7097178,0.6295062
analcatdata_bondrate.arff,0.5472222,0.5555556,0.4833332,0.6451388,0.5625,0.4729167,0.6319444,0.5666666,0.5,0.6000001,0.6333333,0.6333334
analcatdata_boxing1.arff,0.7977232,0.9016071,0.8483928,0.8783482,0.7493304,0.8472321,0.8950893,0.9016071,0.8356696,0.9075,0.8219643,0.7903571
analcatdata_boxing2.arff,0.7887755,0.8410714,0.7899021,0.8428996,0.8038691,0.8407737,0.8128401,0.8410714,0.8497449,0.8526785,0.791369,0.8294642
analcatdata_broadway.arff,1,1,0.7916667,1,0.975,1,1,1,1,1,1,1
analcatdata_broadwaymult.arff,0.8190257,0.8096647,0.3840226,0.7851576,0.7585939,0.4496464,0.8578933,0.8101856,0.5,0.6089461,0.7690173,0.7719474
analcatdata_creditscore.arff,0.9928571,0.9904762,0.7017857,0.9928571,0.9928571,0.9904762,0.9095239,0.9794643,0.9803571,0.9904762,0.6619047,0.6119047
analcatdata_cyyoung8092.arff,0.8346725,0.5375,0.5708331,0.6930059,0.7133927,0.8324405,0.753869,0.8056549,0.5784226,0.8208333,0.6919643,0.5755952
analcatdata_cyyoung9302.arff,0.8763393,0.5,0.6633928,0.7294643,0.6758928,0.8714285,0.9035714,0.9102678,0.6633929,0.8214286,0.8187499,0.7651785
analcatdata_dmft.arff,0.5500325,0.5,0.4810247,0.5,0.5,0.5459572,0.5550932,0.5527931,0.5042188,0.4582294,0.5,0.5
analcatdata_draft.arff,0.6053403,0.5340909,0.5377449,0.5,0.4970588,0.5712567,0.5022875,0.5985295,0.5379679,0.5688206,0.5,0.5
analcatdata_election2000.arff,0.99,1,0.955,0.885,0.94,0.965,0.99,0.99,0.765,1,0.895,0.85
analcatdata_gsssexsurvey.arff,0.5728097,0.5,0.5461538,0.5280181,0.4804486,0.6067842,0.6000535,0.5532052,0.5,0.5650107,0.5544871,0.5294871
analcatdata_gviolence.arff,0.9766666,0.9833333,0.9483333,0.9775,0.9775,1,1,0.975,0.64,0.9916667,0.9875,0.9875
analcatdata_halloffame.arff,0.9452517,0.5,0.7689806,0.7659626,0.8132746,0.9638184,0.9340754,0.9490933,0.5,0.9577969,0.8035368,0.7910402
analcatdata_japansolvent.arff,0.8777779,0.925,0.8249999,0.6916666,0.7499998,0.8166667,0.8944445,0.925,0.5,0.8722223,0.7166665,0.8416666
analcatdata_lawsuit.arff,0.9896666,0.9855834,0.8198333,0.9198751,0.9709167,0.9979167,0.9958334,0.9875834,0.96275,0.9709583,0.8229167,0.55
analcatdata_marketing.arff,0.5577804,0.5,0.5331818,0.4918031,0.5168258,0.5138699,0.5053498,0.5193068,0.5067727,0.5450996,0.4851591,0.5171591
analcatdata_michiganacc.arff,0.8383332,0.8050001,0.6625001,0.6408335,0.7041667,0.8033332,0.8091667,0.8016668,0.6079168,0.775,0.7383334,0.745
analcatdata_neavote.arff,0.4277779,0.3611111,0.5,0.35,0.35,0.4777778,0.3444445,0.4722223,0.35,0.4888888,0.35,0.35
analcatdata_negotiation.arff,0.9432539,0.9674603,0.7726189,0.8511904,0.8654761,0.9746032,0.9666666,0.9603175,0.8392857,0.9119047,0.8297618,0.7797618
analcatdata_olympic2000.arff,1,0.9666667,0.8708332,0.9833333,1,0.95,0.938889,0.9666667,1,1,0.8999999,0.9041666
analcatdata_reviewer.arff,0.6433677,0.6602292,0.622504,0.5727918,0.6170941,0.657937,0.6409266,0.6735815,0.5,0.6494347,0.6011252,0.5998973
analcatdata_runshoes.arff,0.7416668,0.8375001,0.525,0.7388889,0.8083333,0.8541667,0.825,0.8250001,0.6590277,0.8819445,0.7083333,0.6583333
analcatdata_seropositive.arff,0.9802777,0.9597222,0.9656944,0.9261111,0.9047222,0.9683333,0.9572222,0.9575,0.89875,0.9883333,0.9494444,0.9494444
analcatdata_supreme.arff,0.9982442,0.9867157,0.9971363,0.9854205,0.9870116,0.9940097,0.9924727,0.9853547,0.9899954,0.9979972,0.9841502,0.9832637
analcatdata_uktrainacc.arff,0.35,0.3,0.2,0.325,0.35,0.3666667,0.3166667,0.225,0.2,0.3333333,0.225,0.25
analcatdata_vehicle.arff,0.8875,0.9,0.9333334,0.8416666,0.7833333,0.825,0.8916666,0.9,0.8416666,0.9666667,0.7666666,0.8416666
analcatdata_vineyard.arff,0.8096474,0.8718772,0.8559066,0.8976649,0.8658194,0.8373443,0.7618727,0.8819321,0.9031777,0.9466438,0.7492951,0.7487456
analcatdata_wildcat.arff,0.7999621,0.8035986,0.7082008,0.7700568,0.6526706,0.8287501,0.8342804,0.8033334,0.7533334,0.8413257,0.7107575,0.6353029
anneal.arff,0.9791046,0.5143832,0.9071982,0.9562914,0.9382755,0.9247215,0.9809051,0.8692947,0.9369805,0.9855961,0.8485146,0.8236312
AP_Breast_Kidney.arff,0.9911927,0.972411,0.9614673,0.9389123,0.9662442,0.985155,0.7712782,0.9744051,0.957634,0.9920524,0.9787749,0.9792274
AP_Breast_Omentum.arff,0.9762897,0.9411975,0.8980987,0.9189953,0.910754,0.8923019,0.7783688,0.9426681,0.9032578,0.9805373,0.9380882,0.9395168
