name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
2dplanes.arff,0.9191289,0.9831204,0.9553286,0.9792148,0.9454325,0.9177793,0.8836308,0.7195182,0.9820606,0.9783436,0.8353035,0.8365623
abalone.arff,0.8255276,0.7391045,0.7205931,0.805464,0.7887478,0.873881,0.870369,0.8214999,0.8370949,0.8694509,0.784793,0.7740797
ada_prior.arff,0.8547692,0.760873,0.6938827,0.8196336,0.7426958,0.8882084,0.852503,0.8827954,0.8375106,0.8772744,0.7590853,0.7434142
adult.arff,0.8591324,0.8877298,0.7225224,0.875511,0.7426617,0.911535,0.8537645,0.9018806,0.8797777,0.8751206,0.7686008,0.7641564
adult-census.arff,0.872693,0.858105,0.7120459,0.8914715,0.7488099,0.9048528,0.872294,0.8921231,0.8755426,0.9037602,0.7563949,0.7534414
ailerons.arff,0.9299388,0.8700701,0.8262653,0.8780472,0.8861904,0.9519101,0.9518248,0.8460188,0.9267157,0.9505734,0.8706045,0.8744894
analcatdata_apnea1.arff,0.8983352,0.9149439,0.8494144,0.912616,0.852773,0.9168507,0.9104627,0.9149439,0.9126354,0.9254743,0.8675087,0.8675087
analcatdata_apnea2.arff,0.941986,0.9458769,0.8187185,0.9257937,0.9231757,0.9502808,0.9318429,0.9458769,0.9295684,0.9611933,0.9316784,0.9316784
analcatdata_apnea3.arff,0.9017264,0.9183632,0.8175042,0.8910277,0.787124,0.9335469,0.9018888,0.9183632,0.9122542,0.944376,0.8966667,0.8966667
analcatdata_asbestos.arff,0.8660417,0.8566667,0.7775,0.7641666,0.7616666,0.8454167,0.8629167,0.8566667,0.8293749,0.8158333,0.7716666,0.7641666
analcatdata_authorship.arff,0.9964878,0.9972338,0.9939582,0.9513067,0.960581,0.9998798,0.9998798,0.9971744,0.9581158,1,0.9920673,0.995553
analcatdata_bankruptcy.arff,0.9333334,0.8999999,0.8749998,0.8583333,0.8166665,0.9,0.9666666,0.8999999,0.5,0.9333333,0.8833332,0.8499999
analcatdata_birthday.arff,0.9236424,0.9022648,0.8103462,0.7211997,0.7534811,0.7662097,0.9157997,0.9209072,0.6109476,0.8969289,0.7097178,0.6295062
analcatdata_bondrate.arff,0.5472222,0.5555556,0.4833332,0.6451388,0.5402778,0.4729167,0.6319444,0.5666666,0.5,0.6694445,0.6333333,0.6333334
analcatdata_boxing1.arff,0.7977232,0.8984821,0.8483928,0.8783482,0.7305804,0.8503571,0.8950893,0.8984821,0.8566071,0.9225893,0.8219643,0.7903571
analcatdata_boxing2.arff,0.7887755,0.8410714,0.7899021,0.8428996,0.8122024,0.8407737,0.815221,0.8410714,0.8570365,0.8505952,0.791369,0.8294642
analcatdata_broadway.arff,1,1,0.7916667,1,0.9416667,1,1,1,1,1,1,1
analcatdata_broadwaymult.arff,0.8190257,0.8096647,0.3840226,0.7851576,0.7712777,0.4496464,0.8536151,0.8101856,0.5,0.6058851,0.7690173,0.7719474
analcatdata_creditscore.arff,0.9928571,0.9904762,0.7017857,0.9928571,0.9928571,0.9904762,0.9095239,0.9794643,0.9803571,0.9904762,0.6619047,0.6119047
analcatdata_cyyoung8092.arff,0.8346725,0.5375,0.5708331,0.6930059,0.7421129,0.8324405,0.7523809,0.8056549,0.5784226,0.8041667,0.6919643,0.5755952
analcatdata_cyyoung9302.arff,0.8763393,0.5,0.6633928,0.7294643,0.7312499,0.8714285,0.9035714,0.9102678,0.6633929,0.8303571,0.8187499,0.7651785
analcatdata_dmft.arff,0.5500324,0.5,0.4810246,0.5,0.5,0.5459572,0.5465868,0.5527931,0.5042187,0.460925,0.5,0.5
