name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
2dplanes.arff,0.9191289,0.9831204,0.9553286,0.9792165,0.943194,0.9177793,0.8837942,0.7195182,0.9820808,0.8363905,0.8353035,0.8363905
abalone.arff,0.8255276,0.7391045,0.7205931,0.8054928,0.8028053,0.873881,0.8703575,0.8214999,0.833946,0.7738393,0.784793,0.7738393
ada_prior.arff,0.8547692,0.760873,0.6938827,0.8196336,0.7481261,0.8882084,0.8498753,0.8827954,0.8375106,0.7434103,0.7590853,0.7434103
adult.arff,0.8591324,0.8877298,0.7225224,0.8759016,0.7329288,0.911535,0.8521754,0.9018806,0.879804,0.7641405,0.7686008,0.7641405
adult-census.arff,0.872693,0.858105,0.7120459,0.8913874,0.7515842,0.9048528,0.8695684,0.8921231,0.8756402,0.753418,0.7563949,0.753418
ailerons.arff,0.9299388,0.8700701,0.8262653,0.8762397,0.8873085,0.9519058,0.9518453,0.8460188,0.9285956,0.8746157,0.8706045,0.8746157
analcatdata_apnea1.arff,0.8983352,0.9149439,0.8494144,0.912616,0.852773,0.9168507,0.9104627,0.9149439,0.9126354,0.8675087,0.8675087,0.8675087
analcatdata_apnea2.arff,0.941986,0.9458769,0.8187185,0.9257937,0.9237903,0.9502808,0.9318429,0.9458769,0.9295684,0.9316784,0.9316784,0.9316784
analcatdata_apnea3.arff,0.9017264,0.9183632,0.8175042,0.8910277,0.7876966,0.9335469,0.9018888,0.9183632,0.9122542,0.8966667,0.8966667,0.8966667
analcatdata_asbestos.arff,0.8660417,0.8566667,0.7775,0.7641666,0.7579166,0.8454167,0.8629167,0.8566667,0.8293749,0.7641666,0.7716666,0.7641666
analcatdata_authorship.arff,0.9964878,0.9972338,0.9939582,0.9513067,0.9510096,0.9998798,0.9998798,0.9971744,0.9581158,0.995553,0.9920673,0.995553
analcatdata_bankruptcy.arff,0.9333334,0.8999999,0.8749998,0.8583333,0.8583332,0.9,0.9833333,0.8999999,0.5,0.8499999,0.8833332,0.8499999
analcatdata_birthday.arff,0.9236424,0.9022648,0.8103462,0.7211997,0.7235249,0.7662097,0.9074194,0.9209072,0.6109476,0.6395062,0.7097178,0.6395062
analcatdata_bondrate.arff,0.5472222,0.5555556,0.4833332,0.6451388,0.5375,0.4729167,0.6569444,0.5666666,0.5,0.6333334,0.6333333,0.6333334
analcatdata_boxing1.arff,0.7977232,0.8984821,0.8483928,0.8783482,0.7305804,0.8503571,0.8950893,0.8984821,0.8566071,0.7903571,0.8219643,0.7903571
analcatdata_boxing2.arff,0.7887755,0.8410714,0.7899021,0.8428996,0.8038691,0.8407737,0.8128401,0.8410714,0.8497449,0.8294642,0.791369,0.8294642
analcatdata_broadway.arff,1,1,0.7916667,1,0.9416667,1,1,1,1,1,1,1
analcatdata_broadwaymult.arff,0.8190257,0.8096647,0.3840226,0.7851576,0.7659426,0.4496464,0.8617228,0.8101856,0.5,0.7719474,0.7690173,0.7719474
analcatdata_creditscore.arff,0.9928571,0.9904762,0.7017857,0.9928571,0.9928571,0.9904762,0.9095239,0.9794643,0.9803571,0.6119047,0.6619047,0.6119047
analcatdata_cyyoung8092.arff,0.8346725,0.5375,0.5708331,0.6930059,0.7599701,0.8324405,0.7586309,0.8056549,0.5784226,0.5755952,0.6919643,0.5755952
analcatdata_cyyoung9302.arff,0.8763393,0.5,0.6633928,0.7294643,0.7133928,0.8714285,0.9035714,0.9102678,0.6633929,0.7651785,0.8187499,0.7651785
analcatdata_dmft.arff,0.5500324,0.5,0.4810246,0.5,0.5,0.5459572,0.547368,0.5527931,0.5042187,0.5,0.5,0.5
analcatdata_draft.arff,0.6063207,0.5340909,0.5377449,0.5,0.5151961,0.5712567,0.5023172,0.5985295,0.5379679,0.5,0.5,0.5
analcatdata_election2000.arff,0.99,1,0.955,0.885,0.94,0.965,0.99,0.99,0.765,0.85,0.895,0.85
analcatdata_gsssexsurvey.arff,0.5728097,0.5,0.5461538,0.5089208,0.4961538,0.6067842,0.606624,0.5532052,0.5,0.5378204,0.5544871,0.5378204
analcatdata_gviolence.arff,0.9766666,0.9833333,0.9483333,0.9775,0.9775,1,1,0.975,0.64,0.9875,0.9875,0.9875
analcatdata_halloffame.arff,0.9452517,0.5,0.7689806,0.7656129,0.7921623,0.9638184,0.9348946,0.9490933,0.5,0.7914501,0.8035368,0.7914501
analcatdata_japansolvent.arff,0.8777779,0.925,0.8249999,0.6916666,0.7555555,0.8166667,0.8944445,0.925,0.5,0.8611112,0.7166665,0.825
analcatdata_lawsuit.arff,0.9896666,0.9855834,0.8198333,0.9198751,0.9427917,0.9979167,0.9958334,0.9875834,0.96275,0.55,0.8229167,0.55
analcatdata_marketing.arff,0.5577804,0.5,0.5331818,0.4918031,0.5074608,0.5138699,0.5446198,0.5193068,0.5067727,0.5171591,0.4851591,0.5171591
analcatdata_michiganacc.arff,0.8383332,0.8050001,0.6625001,0.6408335,0.6529167,0.8033332,0.8091667,0.8016668,0.6079168,0.7283334,0.7383334,0.7283334
analcatdata_neavote.arff,0.4277779,0.3611111,0.5,0.35,0.35,0.4777778,0.3444445,0.4722223,0.35,0.35,0.35,0.35
analcatdata_negotiation.arff,0.9432539,0.9674603,0.7726189,0.8511904,0.8416666,0.9746032,0.9666666,0.9603175,0.8392857,0.7797618,0.8297618,0.7797618
analcatdata_olympic2000.arff,1,0.9666667,0.8708332,0.9833333,0.9833333,0.95,0.938889,0.9666667,1,0.9041666,0.8999999,0.9041666
analcatdata_reviewer.arff,0.6433677,0.6602292,0.622504,0.5727918,0.6040224,0.657937,0.6278862,0.6735815,0.5,0.611545,0.6011252,0.611545
analcatdata_runshoes.arff,0.7416668,0.8375001,0.525,0.7388889,0.8041667,0.8541667,0.825,0.8250001,0.6312499,0.6583333,0.7083333,0.6583333
analcatdata_seropositive.arff,0.9802777,0.9597222,0.9656944,0.9261111,0.8891666,0.9683333,0.9572222,0.9575,0.89,0.9494444,0.9494444,0.9494444
analcatdata_supreme.arff,0.9982442,0.9867157,0.9971363,0.9854205,0.9862349,0.9940097,0.9924792,0.9853547,0.9899954,0.9832637,0.9841502,0.9832637
analcatdata_uktrainacc.arff,0.35,0.3,0.2,0.325,0.35,0.3666667,0.3166667,0.225,0.2,0.25,0.225,0.25
analcatdata_vehicle.arff,0.8875,0.9,0.9333334,0.8416666,0.7833333,0.825,0.8916666,0.9,0.8416666,0.8416666,0.7666666,0.8416666
analcatdata_vineyard.arff,0.8096474,0.8718772,0.8559066,0.8976649,0.87076,0.8373443,0.7617766,0.8819321,0.9026283,0.7487456,0.7492951,0.7487456
analcatdata_wildcat.arff,0.7999621,0.8035986,0.7082008,0.7700568,0.6906817,0.8287501,0.8342804,0.8033334,0.7533334,0.656212,0.7107575,0.656212
anneal.arff,0.9791046,0.5143832,0.9071982,0.9562914,0.945359,0.9247215,0.9565066,0.8692947,0.9369805,0.8236312,0.8485146,0.8236312
AP_Breast_Kidney.arff,0.9911927,0.9709405,0.9614673,0.9349562,0.961052,0.9848156,0.8180576,0.9719585,0.957634,0.9792274,0.9787749,0.9792274
AP_Breast_Omentum.arff,0.9762897,0.9179202,0.8980987,0.9247359,0.9382705,0.878522,0.7537651,0.9309873,0.9040335,0.9395168,0.9380882,0.9395168
AP_Breast_Prostate.arff,0.9852942,0.9841175,0.9785714,0.9813444,0.9714285,0.9963026,0.6961744,0.9855461,0.9713024,0.9828572,0.9857143,0.9828572
AP_Colon_Kidney.arff,0.9976435,0.9712343,0.977932,0.9670709,0.9615765,0.9810345,0.9068018,0.9693114,0.9592413,0.9834264,0.9783914,0.9834264
AP_Colon_Omentum.arff,0.9752771,0.9294951,0.886207,0.8112762,0.8727372,0.8503079,0.7561422,0.927771,0.8882236,0.9100679,0.9004927,0.9100679
AP_Colon_Ovary.arff,0.977505,0.9391173,0.9030335,0.8977755,0.9407022,0.9187255,0.7987523,0.940973,0.9285607,0.9218513,0.9292489,0.9218513
AP_Colon_Prostate.arff,0.9979944,0.9823277,0.9632183,0.966913,0.9559524,0.9690183,0.7852657,0.9823277,0.9697895,0.9698275,0.977032,0.9698275
AP_Endometrium_Breast.arff,0.9894118,0.9542998,0.9421709,0.9149438,0.9068767,0.9912184,0.8201119,0.957241,0.8791596,0.962297,0.9593978,0.962297
AP_Endometrium_Lung.arff,0.979136,0.9571887,0.9729851,0.8593253,0.8958256,0.9724128,0.7636752,0.9571887,0.8925824,0.9488554,0.9450092,0.9488554
AP_Endometrium_Prostate.arff,0.9928571,0.9928571,0.9916667,0.9845238,0.9761905,1,0.5714286,0.9928571,0.9857142,1,0.9928571,1
AP_Lung_Uterus.arff,0.9766027,0.9474357,0.9073717,0.9230769,0.9131409,0.899359,0.7051281,0.9477563,0.9413459,0.9233974,0.9157052,0.9233974
AP_Omentum_Kidney.arff,0.9935439,0.9706729,0.9644916,0.9467031,0.9697114,0.9786057,0.6985578,0.972596,0.939423,0.9759614,0.9707416,0.9759614
AP_Omentum_Lung.arff,0.9679488,0.9274495,0.8986033,0.8492787,0.9336137,0.9402129,0.769271,0.9408423,0.8935438,0.9173532,0.9063642,0.9173532
AP_Omentum_Ovary.arff,0.8639498,0.6763604,0.6862876,0.6415977,0.7735668,0.6801762,0.6473543,0.7088557,0.7094549,0.6810431,0.6709116,0.6810431
AP_Omentum_Uterus.arff,0.9367503,0.8891711,0.8296016,0.8044127,0.8666838,0.9122825,0.6915064,0.8954211,0.8250344,0.9090199,0.9128662,0.9090199
AP_Ovary_Uterus.arff,0.9373954,0.8432929,0.7754115,0.7901359,0.8456613,0.88611,0.8124098,0.8406006,0.8502666,0.880759,0.877807,0.880759
AP_Prostate_Kidney.arff,0.9989011,0.9705126,0.9735347,0.9768314,0.9765567,0.9918498,0.7996338,0.9724357,0.9806777,0.9878205,0.9768314,0.9878205
AP_Prostate_Uterus.arff,0.9928571,0.9928571,0.9958333,0.970238,0.9928571,0.9581501,0.932326,0.9890109,0.9890109,0.9747252,0.9768314,0.9747252
AP_Uterus_Kidney.arff,0.9952662,0.9685896,0.9621795,0.9657298,0.9495191,0.9793146,0.8567923,0.9727563,0.9506408,0.9785256,0.9903845,0.9785256
ar1.arff,0.6276515,0.45,0.6750001,0.5863636,0.4272727,0.456818,0.618182,0.6,0.45,0.4454545,0.4454545,0.4454545
ar4.arff,0.867361,0.6472222,0.6027776,0.6645834,0.6777777,0.6756945,0.8166666,0.8,0.5972223,0.6388888,0.6576388,0.6388888
ar5.arff,0.6666666,0.6166667,0.5666666,0.6333333,0.65,0.6,0.7333334,0.7333334,0.5,0.6166666,0.6666666,0.6166666
ar6.arff,0.5538195,0.4996528,0.6545139,0.5114583,0.5645833,0.7152779,0.7388888,0.6638889,0.5555555,0.575,0.675,0.575
arsenic-female-bladder.arff,0.7824135,0.8198361,0.6404919,0.5,0.5552083,0.8052028,0.7908882,0.8603419,0.702657,0.5666666,0.5666666,0.5666666
arsenic-female-lung.arff,0.938426,0.8231482,0.8953705,0.5,0.85,0.8513889,0.8796297,0.8680557,0.8930555,0.85,0.85,0.85
arsenic-male-bladder.arff,0.9058613,0.8447066,0.7934312,0.5,0.7583333,0.81616,0.8638539,0.8663085,0.838854,0.7583333,0.7583333,0.7583333
arsenic-male-lung.arff,1,1,1,0.5,1,1,1,1,1,1,1,1
audiology.arff,0.9818995,0.4882352,0.9625489,0.9768627,0.9282353,0.8870526,0.9880392,0.9679779,0.9750979,0.9378432,0.9459927,0.9378432
Australian.arff,0.9195898,0.8547351,0.8027892,0.7856529,0.8697773,0.9325723,0.8788978,0.8210811,0.8957734,0.9304866,0.8591045,0.8620608
auto_price.arff,1,0.9946969,0.9265152,0.9469697,0.9639394,0.9581818,0.9981818,0.9946969,0.9519696,0.9437878,0.9716667,0.9437878
auto93.arff,0.92125,0.8402777,0.7858335,0.7998611,0.6858334,0.8016666,0.8994444,0.8494444,0.6333332,0.7691666,0.7691667,0.7691666
autoHorse.arff,0.9850693,0.9477475,0.8989315,0.9141025,0.9643518,0.9494657,0.9875801,0.9525729,0.9109999,0.9461538,0.9593483,0.9461538
autoMpg.arff,0.9616932,0.968627,0.8964912,0.9190017,0.889138,0.965039,0.968744,0.969003,0.9284738,0.8771304,0.8941793,0.8771304
