name,NumberOfInstances,NumberOfFeatures,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,Dimensionality,MajorityClassPercentage,MajorityClassSize,NumberOfBinaryFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,DefaultAccuracy,PercentageOfMissingValues,MeanKurtosisOfNumericAtts,MeanSkewnessOfNumericAtts,MeanMeansOfNumericAtts,MeanStdDevOfNumericAtts,NoiseToSignalRatio,EquivalentNumberOfAtts,MeanAttributeEntropy,MeanMutualInformation,ClassEntropy,NaiveBayesErrRate,Dif_NB_Err_Rate,NaiveBayesKappa,Dif_NB_kappa,NaiveBayesAUC,Dif_NB_AUC,DecisionStumpErrRate,Dif_DS_Err_Rate,DecisionStumpKappa,Dif_DS_Kappa,DecisionStumpAUC,Dif_DS_AUC,kNN1NErrRate,Dif_KNN_Err_Rate,kNN1NKappa,Dif_KNN_kappa,kNN1NAUC,Dif_KNN_AUC
2dplanes.arff,40768,11,0,10,1,0.000269819,50.08830455,20420,1,0,0,0.500883046,0,71.25968549,3.162112973,119.9435735,51.8499859,0,0,-1,0,0.99999775,0.344485871,0.273964874,0.311018587,-0.547942462,0.719309142,-0.257969552,0.19748332,0.126962323,0.605027713,-0.253933336,0.802161614,-0.17511708,0.088304553,0.017783556,0.823399494,-0.035561555,0.957774401,-0.019504293
abalone.arff,4177,9,0,7,2,0.002154656,50.1795547,2096,1,0,0,0.501795547,0,84.73395007,3.574654339,143.5154224,62.11111567,9.95504312,6.926886886,1.581510048,0.144363653,0.999990698,0.264783337,0.028489346,0.470506616,-0.056917997,0.821066121,0.011381832,0.252573617,0.016279626,0.495017308,-0.032407305,0.767830925,-0.041853364,0.285372277,0.049078286,0.429195086,-0.098229527,0.707356705,-0.102327584
ada_prior.arff,4562,15,88,6,9,0.003288032,75.18632179,3430,2,88,1.928978518,0.751863218,0.128598568,49.71503338,1.441845602,-9366.742023,9002.531316,24.06283318,11.31745077,1.790030246,0.071421704,0.808311616,0.171635248,0.017974573,0.491730771,-0.063979119,0.882909771,0.029842365,0.248136782,0.094476107,0,-0.55570989,0.745105543,-0.107961863,0.228846997,0.075186322,0.382663613,-0.173046277,0.690086176,-0.16298123
adult.arff,48842,15,6465,2,13,0.000307113,76.07182343,37155,2,3620,7.411653904,0.760718234,0.882437247,506.9090466,5.611320616,5384.937447,3085.676641,22.83546018,11.81342283,1.601706254,0.067198462,0.793843839,0.175566111,0.018119651,0.559695871,0.028710051,0.901685497,0.039952578,0.239281766,0.081835306,0,-0.53098582,0.759363136,-0.102369783,0.20513083,0.04768437,0.431583554,-0.099402266,0.714765557,-0.146967362
adult-census.arff,32561,16,4262,7,9,0.000491385,75.91904426,24720,2,2399,7.367709837,0.759190443,0.818079912,30.78889173,3.078172074,31838.73649,18894.4651,23.69035454,11.04040867,1.781003112,0.072133558,0.796383955,0.167685268,0.02088388,0.49334627,-0.06082652,0.891641804,0.027265392,0.240809557,0.094008169,0,-0.55417279,0.758061677,-0.106314735,0.210220816,0.063419428,0.423731826,-0.130440964,0.710697439,-0.153678973
ailerons.arff,13750,41,0,40,1,0.002981818,57.61454545,7922,1,0,0,0.576145455,0,110.3736021,2.466958889,124.6097995,66.07541311,0,0,-1,0,0.983204857,0.287781818,0.135636363,0.371413488,-0.316886986,0.845071804,-0.06224825,0.246836364,0.094690909,0.521289667,-0.167010807,0.772506089,-0.134813965,0.174181818,0.022036363,0.643454042,-0.044846432,0.821807276,-0.085512778
analcatdata_apnea1.arff,475,4,0,1,3,0.008421053,87.15789474,414,1,0,0,0.871578947,0,70.52457704,1.845931696,-73717.37903,12550.46029,17.54055835,4.416430371,2.321928095,0.125235069,0.55309196,0.071578947,0.016842105,0.595420612,-0.1530314,0.915142156,0.001267126,0.128421053,0.073684211,0,-0.748452012,0.673081492,-0.240793538,0.082105263,0.027368421,0.625371595,-0.123080417,0.836322959,-0.077552071
analcatdata_apnea2.arff,475,4,0,1,3,0.008421053,86.52631579,411,1,0,0,0.865263158,0,73.74389006,1.92912781,-77026.88284,13113.8564,14.39980375,3.782336366,2.321928095,0.150776473,0.570287337,0.061052632,-0.006315789,0.705088955,0.028108336,0.942024027,0.006044708,0.134736842,0.067368421,0,-0.676980619,0.692081052,-0.243898267,0.065263158,-0.002105263,0.710553732,0.033573113,0.865476734,-0.070502585
analcatdata_apnea3.arff,450,4,0,1,3,0.008888889,87.77777778,395,1,0,0,0.877777778,0,73.80992912,1.930827482,-77094.75675,13125.40563,18.74716857,4.556064773,2.321928095,0.117582837,0.53571502,0.104444444,-0.002222223,0.329635499,0.125802104,0.904810127,0.135673188,0.122222222,0.015555555,0,-0.203833395,0.600552359,-0.16858458,0.106666667,0,0.46967837,0.265844975,0.740667434,-0.028469505
analcatdata_asbestos.arff,83,4,0,1,3,0.048192771,55.42168675,46,2,0,0,0.554216867,0,183.6078822,7.65377858,2.615874109,1.588257329,4.158970833,4.528138504,1.129631701,0.218964545,0.991501787,0.21686747,0,0.565697674,-0.004497953,0.849001175,0.057285546,0.240963855,0.024096385,0.529745042,-0.040450585,0.753231492,-0.038484137,0.240963855,0.024096385,0.522439586,-0.047756041,0.783490012,-0.008225617
analcatdata_authorship.arff,841,71,0,70,1,0.084423306,62.30677765,524,1,0,0,0.623067776,0,29.61989834,0.915044537,-14282.18573,9590.270194,0,0,-1,0,0.955846502,0.011890606,-0.007134364,0.974748081,0.015050952,0.994644274,0.000465204,0.143876338,0,0.703124225,0,0.855494618,0,0.009512485,0.005945303,0.979798465,-0.012592856,0.993019602,-0.00303718
analcatdata_bankruptcy.arff,50,7,0,5,2,0.14,50,25,1,0,0,0.5,0,152.7515511,6.354355835,13.30206239,4.561833063,0,0,-1,0,1,0.2,-0.06,0.6,0.12,0.8784,0.1472,0.2,-0.06,0.6,0.12,0.796,0.0648,0.12,-0.14,0.76,0.28,0.88,0.1488
analcatdata_birthday.arff,365,4,30,1,3,0.010958904,85.47945205,312,1,30,8.219178082,0.854794521,2.054794521,30.12368683,0.912466754,-14544.42336,9766.144542,420.1051841,60.16794428,4.183275992,0.009934041,0.597710801,0.120547945,-0.043835617,0.529142723,0.161615431,0.916666667,0.132287131,0.164383562,0,0.367527292,0,0.896226415,0.111846879,0.120547945,-0.043835617,0.506665848,0.139138556,0.730527334,-0.053852202
analcatdata_bondrate.arff,57,12,1,4,8,0.210526316,57.89473684,33,2,1,1.754385965,0.578947368,0.14619883,28.32909663,0.935261611,-11361.81737,9440.123285,18.14671591,9.645133416,1.949267105,0.101806864,0.981940787,0.385964912,0.035087719,0.217228464,-0.010413812,0.615164806,-0.03129984,0.438596491,0.087719298,0.004192872,-0.223449404,0.522727273,-0.123737373,0.50877193,0.157894737,-0.061657033,-0.289299309,0.451388889,-0.195075757
analcatdata_boxing1.arff,120,4,0,0,4,0.033333333,65,78,2,0,0,0.65,0,0,0,0,0,12.62301886,4.901590985,2.596060498,0.190564259,0.934068055,0.241666667,0.075,0.459962756,-0.165505409,0.815430403,-0.035607448,0.35,0.183333333,0.135802469,-0.489665696,0.565018315,-0.286019536,0.291666667,0.125,0.317738791,-0.307729374,0.742216117,-0.108821734
analcatdata_boxing2.arff,132,4,0,0,4,0.03030303,53.78787879,71,2,0,0,0.537878788,0,0,0,0,0,15.94420214,6.416171761,2.629915019,0.155210319,0.995856066,0.265151515,0.045454545,0.472120658,-0.08338329,0.795650455,-0.049419968,0.416666667,0,0.109421001,0,0.54444701,0,0.340909091,0.136363636,0.319743472,-0.271165619,0.717501732,-0.120757331
analcatdata_broadway.arff,95,10,9,3,7,0.105263158,71.57894737,68,2,6,6.315789474,0.715789474,0.947368421,28.51555892,0.920566723,-12507.99419,8465.20728,4.684730063,3.427138349,1.428381642,0.251266397,0.861124706,0.031578947,0.021052631,0.919695689,-0.05414072,0.997821351,-0.002178649,0,-0.010526316,1,0.026163591,1,0,0.136842105,0.126315789,0.626097487,-0.347738922,0.797930283,-0.202069717
analcatdata_broadwaymult.arff,285,8,27,3,5,0.028070175,58.59649123,167,2,18,6.315789474,0.585964912,1.184210526,30.54040731,0.917443799,-14757.62534,9900.618704,21.10654751,8.316397787,2.601224879,0.117667622,0.978570752,0.231578947,0.003508772,0.520348837,-0.012520518,0.821069725,-0.011849183,0.280701754,0.052631579,0.439610677,-0.093258678,0.767989445,-0.064929463,0.470175439,0.242105264,0.068081991,-0.464787364,0.49226124,-0.340657668
analcatdata_creditscore.arff,100,7,0,3,4,0.07,73,73,3,0,0,0.73,0,181.3582371,7.580957053,3.529902707,2.849596596,13.68492885,16.60529594,0.744151044,0.050674474,0.841464636,0.05,0.04,0.87745098,-0.097473794,0.988330797,-0.00152207,0.01,0,0.974924774,0,0.989852867,0,0.25,0.24,0.326508621,-0.648416153,0.653729072,-0.336123795
analcatdata_cyyoung8092.arff,97,11,0,7,4,0.113402062,75.25773196,73,3,0,0,0.75257732,0,171.2314275,7.166346299,13.23649923,3.514877757,9.145335803,3.187750551,2.56889169,0.253209134,0.807167555,0.309278351,0.134020619,0.364906155,-0.039571996,0.826484018,0.203196347,0.206185567,0.030927835,0.334705075,-0.069773076,0.669520548,0.046232877,0.319587629,0.144329897,0.018282729,-0.386195422,0.522545662,-0.100742009
analcatdata_cyyoung9302.arff,92,11,0,6,5,0.119565217,79.34782609,73,3,0,0,0.793478261,0,149.5495742,6.220120472,14.23001339,5.16328271,31.57535575,13.9752084,1.712730376,0.052577488,0.734781352,0.304347826,0.108695652,0.383437051,0.204051521,0.858378264,0.24482383,0.195652174,0,0.17938553,0,0.765681327,0.152126893,0.304347826,0.108695652,-0.099914603,-0.279300133,0.457822639,-0.155731795
analcatdata_dmft.arff,797,5,0,0,5,0.006273526,80.55207026,642,2,0,0,0.805520703,0,0,0,0,0,356.3384718,125.9200944,2.016975283,0.005644439,0.710748319,0.194479297,0,0,0,0.519364749,0.020977652,0.194479297,0,0,0,0.52503266,0.026645563,0.291091593,0.096612296,-0.04691481,-0.04691481,0.463229826,-0.035157271
analcatdata_draft.arff,366,6,1,3,3,0.016393443,91.2568306,334,1,1,0.273224044,0.912568306,0.045537341,28.7296803,0.908174859,-12740.52349,8574.8624,94.78187122,11.43188944,3.584637216,0.037425007,0.427838544,0.090163934,0.00273224,-0.005327118,-0.005327118,0.464539671,-0.035460329,0.087431694,0,0,0,0.504491018,0.004491018,0.150273224,0.06284153,0.016609673,0.016609673,0.507952844,0.007952844
analcatdata_election2000.arff,67,16,0,14,2,0.23880597,73.13432836,49,1,0,0,0.731343284,0,76.80822739,1.907620705,-84000.54523,11944.79238,0,0,-1,0,0.839530498,0.074626866,0,0.813370474,0,0.972619894,0.058787694,0.074626866,0,0.806693595,-0.006676879,0.896258503,-0.017573697,0.059701493,-0.014925373,0.848072562,0.034702088,0.933673469,0.019841269
analcatdata_gsssexsurvey.arff,159,10,6,4,6,0.062893082,77.98742138,124,6,6,3.773584906,0.779874214,0.377358491,45.50784073,1.198069672,-23182.46012,14216.92067,36.51175969,51.1771875,0.557354465,0.014858126,0.760397118,0.333333333,0.106918239,-0.069551974,-0.17040023,0.460138249,-0.053686636,0.308176101,0.081761007,0.053916211,-0.046932045,0.541589862,0.027764977,0.339622642,0.113207548,0.030706706,-0.07014155,0.529032258,0.015207373
analcatdata_gviolence.arff,74,10,0,8,2,0.135135135,58.10810811,43,1,0,0,0.581081081,0,44.70523213,1.185359674,-22759.27262,13960.04413,0,0,-1,0,0.980947013,0.067567568,0.040540541,0.861837192,-0.083144221,0.972243061,-0.004126031,0.027027027,0,0.944981413,0,0.976369092,0,0.054054054,0.027027027,0.889962825,-0.055018588,0.948987247,-0.027381845
